"","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"1",505,"September","Wednesday","Based on Self Initiated","POM","LT","Transit",1,"OTHER",10,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","OTHER",27,"MALE","WHITE",6.1,150,"MED","BLU","BRO",1,"N"
"2",783,"October","Monday","Based on Self Initiated","POM","SGT","Housing",5,"CRIMINAL TRESPASS",6,"Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","Y","N","Y","Y","Y","N","Y","N","Y","N","N","UPSET",20,"FEMALE","WHITE HISPANIC",4.5,120,"THN","BLU","RED",5,"Y"
"3",1080,"January","Wednesday","Based on C/W on Scene","DT2","LT","Housing",5,"CRIMINAL SALE OF CONTROLLED SUBSTANCE",5,"Y","Y","N","N","S","V","Y","Y","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","Y","Y","N","Y","N","Y","N","Y","N","N","Y","N","CRIMINAL SALE OF CONTROLLED SUBSTANCE",51,"MALE","BLACK HISPANIC",5.8,350,"HEA","BRO","BLD",7,"N"
"4",1290,"August","Friday","Based on Self Initiated","POM","SGT","Housing",1,"CRIMINAL TRESPASS",10,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","EXTREMLY NERVOUS",22,"MALE","WHITE HISPANIC",5.6,140,"THN","BRO","BRO",7,"N"
"5",90,"January","Tuesday","Based on Self Initiated","POM","SGT","PSB",2,"CRIMINAL SALE OF CONTROLLED SUBSTANCE",5,"Y","N","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","CRIMINAL SALE OF CONTROLLED SUBSTANCE",24,"MALE","BLACK",5.8,150,"THN","BRO","BLK",9,"N"
"6",1367,"January","Tuesday","Based on Self Initiated","POM","LT","Housing",5,"BURGLARY",3,"Y","N","N","N","S","V","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","CALM",64,"MALE","BLACK",5.8,170,"THN","BRO","GRY",9,"Y"
"7",180,"June","Wednesday","Based on C/W on Scene","POM","SGT","PSB",5,"ROBBERY",60,"Y","Y","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","ROBBERY",31,"MALE","BLACK",6.8,200,"THN","BRO","BLK",9,"N"
"8",180,"June","Wednesday","Based on C/W on Scene","POM","SGT","PSB",5,"ROBBERY",60,"Y","Y","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","ROBBERY",25,"MALE","BLACK",6.2,175,"MED","BRO","BLK",9,"N"
"9",60,"March","Tuesday","Based on C/W on Scene","POM","SGT","PSB",0,"ASSAULT",10,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","UPSET",22,"MALE","BLACK",5.5,145,"MED","BRO","BLK",10,"N"
"10",860,"January","Wednesday","Based on Self Initiated","POM","SGT","Transit",10,"OTHER",1,"Y","N","Y","N","N","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","Y","N","Y","N","N","Y","OTHER",19,"MALE","WHITE",5.1,170,"THN","BLU","BRO",13,"Y"
"11",830,"May","Wednesday","Based on Radio Run","POM","LT","Transit",5,"ASSAULT",10,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","NERVOUS ANXIOUS AND SHAKING",19,"MALE","BLACK",5.5,155,"MED","BRO","BLK",13,"N"
"12",533,"June","Wednesday","Based on C/W on Scene","POM","SGT","PSB",1,"BURGLARY",3,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","VERY POLITE",55,"MALE","BLACK",6.2,210,"MED","BRO","BLD",13,"N"
"13",525,"October","Monday","Based on Self Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",24,"MALE","WHITE HISPANIC",6.2,250,"HEA","BRO","BLK",13,"N"
"14",505,"October","Monday","Based on Self Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",46,"MALE","WHITE",5.9,190,"THN","BLU","RED",13,"N"
"15",585,"October","Monday","Based on Self Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",37,"FEMALE","WHITE",5.5,130,"THN","GRN","BRO",13,"N"
"16",760,"June","Tuesday","Based on C/W on Scene","SGT","LT","Transit",30,"PETIT LARCENY",15,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","RELAXED",20,"MALE","BLACK",5.8,130,"THN","BRO","BLK",14,"N"
"17",760,"June","Tuesday","Based on C/W on Scene","SGT","LT","Transit",30,"PETIT LARCENY",15,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","RELAXED",20,"MALE","WHITE HISPANIC",5.8,125,"THN","BRO","BLK",14,"N"
